name_original,species,accepted_name
Adansonia_digitata,Adansonia digitata,Adansonia digitata L.
Adansonia_grandidieri,Adansonia grandidieri,Adansonia grandidieri Baill.
Adansonia_gregorii,Adansonia gregorii,Adansonia gregorii F. Muell.
Adansonia_madagascariensis,Adansonia madagascariensis,Adansonia madagascariensis Baill.
Adansonia_perrieri,Adansonia perrieri,Adansonia perrieri Capuron
Adansonia_rubrostipa,Adansonia rubrostipa,Adansonia rubrostipa Jum. & H. Perrier
Adansonia_suarezensis,Adansonia suarezensis,Adansonia suarezensis H. Perrier
Adansonia_za,Adansonia za,Adansonia za Baill.
Aguiaria_excelsa,Aguiaria excelsa,Aguiaria excelsa Ducke
Bombax_anceps,Bombax anceps,Bombax anceps Pierre
Bombax_buonopozense,Bombax buonopozense,Bombax buonopozense P. Beauv.
Bombax_ceiba,Bombax ceiba,Bombax ceiba L.
Bernoullia_flammea,Bernoullia flammea,Bernoullia flammea Oliv.
Bernoullia_jaliscana,Bernoullia jaliscana,Bernoullia jaliscana Miranda & McVaugh
Bernoullia_uribeana,Bernoullia uribeana,Bernoullia uribeana Cuatrec.
Catostemma_albuquerquei,Catostemma albuquerquei,Catostemma albuquerquei Paula
Catostemma_altsonii,Catostemma altsonii,Catostemma altsonii Sandwith
Catostemma_cavalcantei,Catostemma cavalcantei,Catostemma cavalcantei Paula
Catostemma_clarkii,Catostemma clarkii,Catostemma clarkii Steyerm.
Catostemma_commune,Catostemma commune,Catostemma commune Sandwith
Catostemma_digitatum,Catostemma digitatum,Catostemma digitatum J.D. Sheph. & W.S. Alverson
Catostemma_durifolium,Catostemma durifolium,Catostemma durifolium W.S. Alverson
Catostemma_ebracteolatum,Catostemma ebracteolatum,Catostemma ebracteolatum Steyerm.
Catostemma_fragrans,Catostemma fragrans,Catostemma fragrans Benth.
Catostemma_grazielae,Catostemma grazielae,Catostemma grazielae Paula
Catostemma_hirsutulum,Catostemma hirsutulum,Catostemma hirsutulum Steyerm.
Catostemma_lemense,Catostemma lemense,Catostemma lemense Sanoja
Catostemma_marahuacense,Catostemma marahuacense,Catostemma marahuacense Steyerm.
Catostemma_milanezii,Catostemma milanezii,Catostemma milanezii Paula
Catostemma_pubistylum,Catostemma pubistylum,Catostemma pubistylum Steyerm.
Catostemma_sancarlosianum,Catostemma sancarlosianum,Catostemma sancarlosianum Steyerm.
Catostemma_sclerophyllum,Catostemma sclerophyllum,Catostemma sclerophyllum Ducke
Cavanillesia_chicamochae,Cavanillesia chicamochae,Cavanillesia chicamochae Fern. Alonso
Cavanillesia_platanifolia,Cavanillesia platanifolia,Cavanillesia platanifolia (Bonpl.) Kunth
